muscle,arm,leg,abdomen,fitness,thigh
0.8472886681556702,0,0,0,0,0
0.7008174657821655,0,0.888965368270874,0,0,0.8215527534484863
0,0,0,0.8741986155509949,0,0.8715405464172363
0.6535954475402832,0,0.8109055161476135,0.5799248814582825,0,0.6171472072601318
0,0.7410197854042053,0.7601177096366882,0,0,0.6532917022705078
0,0,0.7573369145393372,0,0,0
0,0,0.8901016712188721,0.8712860941886902,0,0.9158808588981628
0.6702621579170227,0,0.7147738933563232,0.7206062078475952,0,0
0.7657725214958191,0.7828764319419861,0.8506962656974792,0,0,0.7842011451721191
0,0,0.8645687103271484,0,0,0.8376462459564209
0,0,0,0,0,0.90050208568573
0.7260944247245789,0,0.7357953786849976,0,0,0.6113417148590088
0,0,0.8669445514678955,0.8013593554496765,0,0.9078771471977234
0.8107587695121765,0.738396942615509,0.746077835559845,0.7620717287063599,0,0.7619359493255615
0,0,0.8942030668258667,0,0,0.9023042321205139
0.6998261213302612,0.7312207221984863,0.8101416230201721,0.6558746099472046,0,0.8036974668502808
0.845302939414978,0.7808937430381775,0.7510973811149597,0.8017995953559875,0,0.8131853342056274
0.6771206259727478,0.7533459067344666,0.7466285824775696,0.8122019171714783,0,0
