shoulder,thigh,leg,joint,abdomen,muscle,structure,room,physical fitness,arm,gym,girl,human leg,standing,active undergarment,weight training,undergarment,fashion accessory,leggings,tights,strength training,trunk,black hair,selfie,human body,exercise equipment,long hair,lingerie,footwear,model
0.8689319491386414,0,0,0.8390873074531555,0,0,0.9039615392684937,0.8754085898399353,0.831630289554596,0,0.9645808339118958,0,0.7942938804626465,0,0,0.9261552095413208,0,0,0,0,0,0,0,0,0,0.8400596976280212,0,0,0,0
0.8365839719772339,0.7972409129142761,0.7618989944458008,0,0,0.8160833716392517,0.9020144939422607,0.927890956401825,0.7155055403709412,0.7805663347244263,0.9464484453201294,0,0.7131233811378479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7771081924438477,0.7535671591758728,0.8821967244148254,0.814125120639801,0,0,0,0,0,0,0,0.8174701929092407,0,0,0,0,0,0,0,0,0,0,0,0,0.7411763668060303,0,0,0,0.9698803424835205,0
0.860436201095581,0,0.8095653653144836,0.8332487940788269,0,0.7344902157783508,0.7881335020065308,0.8710700869560242,0,0.6940062046051025,0,0.7884422540664673,0.6821320652961731,0.8400713801383972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8132875561714172,0.5585305094718933,0.7023668885231018,0,0.5616394877433777,0.7098778486251831,0,0,0,0,0,0,0.5775289535522461,0,0.7796605825424194,0,0,0.8349944353103638,0.7828841805458069,0.8028699159622192,0,0,0,0,0,0,0,0,0,0
0.8686159253120422,0,0.8384897112846375,0.8590447306632996,0.8235657811164856,0.7834243774414062,0.8661263585090637,0.9116191864013672,0,0,0.8763841390609741,0,0.7910618185997009,0,0,0,0,0.8141476511955261,0,0,0,0,0,0,0,0,0,0,0,0
0.8573032021522522,0,0.752376139163971,0.7801474332809448,0.6724568605422974,0.6660718321800232,0,0,0,0,0,0,0.6798285245895386,0,0,0,0,0.8877986073493958,0.8242473602294922,0.8204442262649536,0,0,0,0,0,0,0,0,0,0
0.8647379279136658,0.9072961807250977,0.8479205369949341,0.8394300937652588,0,0,0.9227296113967896,0.9356840252876282,0.8689913153648376,0,0.9590803980827332,0,0,0,0,0.8571018576622009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8685538172721863,0.9282667636871338,0.9296119809150696,0,0,0,0.8793843984603882,0.9169965982437134,0.8504738211631775,0,0.9410977959632874,0,0.8897391557693481,0,0,0.8821669220924377,0,0,0,0,0.875796914100647,0,0,0,0,0,0,0,0,0
0.8692095279693604,0.8442756533622742,0.7970434427261353,0,0,0.8059033155441284,0.8993048071861267,0.8774677515029907,0.770972490310669,0,0.9108415246009827,0,0.86917644739151,0,0,0.8799316883087158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8640086054801941,0.8848289251327515,0.8673268556594849,0.8800392746925354,0.8329668641090393,0,0.8797469735145569,0.9123399257659912,0.8127760291099548,0,0.9357684850692749,0,0.8222674131393433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8082411289215088,0.7358518838882446,0,0,0,0,0,0,0,0,0,0.7913079261779785,0,0,0.8979169130325317,0,0.8192903399467468,0,0,0,0,0,0,0.8221412897109985,0,0,0,0.7113295197486877,0,0
0,0.5862138867378235,0,0,0.6181585788726807,0.7091941833496094,0,0,0,0,0,0.7958637475967407,0,0,0.7311515212059021,0,0,0,0,0,0,0,0,0.7998954057693481,0,0,0.6450182199478149,0,0,0
0.8697264790534973,0.8576760292053223,0,0,0.842317521572113,0,0.8967686891555786,0.9115735292434692,0.8488505482673645,0,0.9584750533103943,0,0,0.7728086113929749,0.8751077055931091,0.9168182015419006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8693487644195557,0.8704729080200195,0,0,0.8500720858573914,0.8324483036994934,0.8408161997795105,0.8703814744949341,0.8459446430206299,0,0.8526588082313538,0,0,0,0.9196458458900452,0.8466939926147461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8702381253242493,0.8804175853729248,0,0,0.8915439248085022,0,0.9132679104804993,0.9063594937324524,0.8535218834877014,0,0.9601664543151855,0,0,0,0,0.9341354370117188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8547462224960327,0.7784902453422546,0.6995057463645935,0,0.8311727046966553,0.8275211453437805,0,0,0,0.7554531693458557,0,0,0,0.7707882523536682,0.8958573937416077,0,0.805131196975708,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8639736175537109,0,0,0,0.8572120666503906,0.8426234722137451,0.864646315574646,0.8540555238723755,0.8398833870887756,0,0,0,0,0.8303440809249878,0.9017608165740967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8679869771003723,0.9155269861221313,0.844931423664093,0.8806470632553101,0.8517359495162964,0,0.8687083721160889,0.9023202061653137,0.8823814392089844,0,0,0,0,0,0,0,0,0,0,0,0.852499783039093,0,0,0,0,0.9386603832244873,0,0,0,0
0.8680425882339478,0.8056212067604065,0.7967408895492554,0,0.8211050033569336,0.8427685499191284,0,0,0.8587744832038879,0.7996270656585693,0,0,0,0,0.8991233706474304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8699637651443481,0.8283291459083557,0,0.8389200568199158,0.7865515947341919,0,0.912056028842926,0.8736132383346558,0,0,0.9598637223243713,0,0,0.8515017032623291,0,0.8877496719360352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8703182935714722,0.9007666110992432,0,0.8868463635444641,0.908413827419281,0,0.8992233276367188,0.906474769115448,0,0,0.9411587119102478,0,0.8665175437927246,0.9200306534767151,0,0,0,0,0,0,0,0,0,0,0,0.9099786281585693,0,0,0,0
0.8639090657234192,0.8810797333717346,0.8539928197860718,0.8681169748306274,0,0,0.8748048543930054,0.8956591486930847,0.8402258157730103,0,0.910025954246521,0,0,0,0,0.857528567314148,0,0,0,0,0,0,0,0,0,0,0,0,0.952869176864624,0
0.8704229593276978,0.8546724915504456,0.817381739616394,0.8869555592536926,0.7816319465637207,0,0,0,0.807919442653656,0.8175745010375977,0,0,0.8529909253120422,0.9416122436523438,0,0,0,0,0,0,0.9119011759757996,0,0,0,0,0,0,0,0,0
