shoulder,thigh,leg,joint,abdomen,muscle,structure,room,physical fitness,arm,gym,girl,human leg,standing,active undergarment,weight training,undergarment,fashion accessory,leggings,tights,strength training,trunk,black hair,selfie,human body,exercise equipment,long hair,lingerie,footwear,model
0.8683165311813354,0.813185453414917,0.7510973811149597,0.8359819650650024,0.8017995953559875,0.845302939414978,0.8499390482902527,0.8623106479644775,0.763857364654541,0.7808937430381775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8303291201591492,0.6171473264694214,0.8109056353569031,0.8411549925804138,0.5799247622489929,0.6535953879356384,0,0,0,0,0,0.7633169293403625,0,0,0,0,0,0,0,0,0,0.5384001135826111,0,0,0,0,0,0,0,0
0.8574253916740417,0.6113417744636536,0.7357953786849976,0.8124282956123352,0,0.7260943651199341,0,0,0,0,0,0.7345654964447021,0,0.753740668296814,0,0,0,0,0.6400306224822998,0.7641125321388245,0,0,0,0,0,0,0,0,0,0
0.8641917109489441,0.8376462459564209,0.864568829536438,0.8505823612213135,0,0,0,0,0,0,0,0.7175918221473694,0.782564640045166,0.7571792602539062,0,0,0,0.8159382343292236,0.8703687191009521,0.8871539831161499,0,0,0,0,0,0,0,0,0,0
0,0,0.7573370337486267,0,0,0,0,0,0,0,0,0.8984224796295166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8895818591117859
0.7431076169013977,0.8215527534484863,0.888965368270874,0.780316948890686,0,0.7008174657821655,0,0,0,0,0,0.865481436252594,0,0,0,0,0.7178462743759155,0,0,0,0,0,0,0,0,0,0,0,0,0.7466145753860474
0.8638612031936646,0.90050208568573,0,0,0,0,0.9085689187049866,0.9026321768760681,0.9110466241836548,0,0.9293920397758484,0,0.850852906703949,0,0,0.8877167105674744,0,0,0,0,0.8171473741531372,0,0,0,0,0,0,0,0,0
0.8039517998695374,0,0.7508226633071899,0.7209609150886536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828403651714325,0.7397985458374023,0.7949641942977905,0,0,0,0,0,0,0,0,0.9260334968566895,0
0.8669969439506531,0.8686083555221558,0.8160852193832397,0.8523156046867371,0.7811359167098999,0.7721459865570068,0.8215847611427307,0.8846921324729919,0,0.7510432600975037,0,0,0,0,0,0,0,0.8531937003135681,0,0,0,0,0,0,0,0,0,0,0,0
0.8601331114768982,0.8524641394615173,0.8244154453277588,0.8346922397613525,0.833902895450592,0,0,0.8565146923065186,0,0,0,0,0,0,0.8289172649383545,0,0,0.8160446286201477,0.8511477112770081,0.7980416417121887,0,0,0,0,0,0,0,0,0,0
0.7467068433761597,0.7589734196662903,0.7838169932365417,0,0.8609845042228699,0.8380332589149475,0,0,0,0,0,0,0,0,0,0,0.7057625651359558,0,0,0,0,0.7575379610061646,0.7122220993041992,0,0,0,0,0,0,0
